Nome,Dato1,Dato2,Dato3,...
418,-4J. De Loore,114,-
419,-29E. Karlovskiy,114,-
420,-8V. Ursu,114,-
421,-5Y. Wu,113,-
422,6H. Casanova,113,-
423,-6E. Tiurnev,113,-
424,-71P. Kypson,113,-
425,-5T. Zink,112,-
426,-3B. Gojo,111,-
427,-3A. Gray,111,-
428,-3M. Braswell,111,-
429,-7G. Piraino,111,-
430,-1D. Jorda Sanchis,110,-
431,-4N. Oberleitner,110,-
432,25R. Brancaccio,109,-
433,3L. Pokorny,109,-
434,-4M. Damas,108,-
435,L. Poullain,108,1
436,-4M. Karol,108,-
437,-27H. Moriya,108,-
438,40G. Loffhagen,107,-
439,-107D. Masur,106,-
440,-9T. Compagnucci,106,-
441,116F. Cina,105,-
442,-21S. Purtseladze,104,-
443,-66J. Nicod,102,-
444,M. Sasikumar,102,-
445,-6S. Popovic,102,1
446,9T. Paris,101,-
447,-66M. Raonic,100,-
448,-11P. Nesterov,100,1
449,24P. Boscardin Dias,99,-
450,24R. Cid Subervi,98,-
451,-3R. Ramanathan,97,-
452,-2G. Cadenasso,97,-
453,-2E. Escobedo,97,-
454,4B. Artnak,97,-
455,-3S. Sakellaridis,97,-
456,-10L. Gerch,96,-
457,-4M. De Krom,96,-
458,-4K. Isomura,96,-
459,22T. Gentzsch,96,-
460,A. Pecci,95,-
461,-5J. Marie,95,-
462,43T. Pereira,94,-
463,-2L. Lokoli,92,-
464,98S. Parker,92,-
465,11E. Agafonov,92,1
466,-1T. Farjat,91,-
467,1A. Rai,90,-
468,30M. Damm,89,-
469,-5P. Bertran,89,-
470,-4A. McHugh,88,-
471,-9L. Rodriguez,88,-
472,-3A. Bakshi,88,-
473,-24O. Luz,87,-
474,41A. Tudorica,87,-
475,-8S. Gulin,87,-
476,-4J. Delaney,87,-
477,-18D. Tomescu,86,-
478,-8F. Iannaccone,86,-
479,-2M. Neuchrist,85,-
480,-1M. Moeller,85,-
481,-119D. Kudla,85,-
482,-7B. Mott,85,-
483,-43V. Aboian,85,1
484,5A. Binda,85,-
485,-2S. Dostanic,84,-
486,6F. Juarez,84,-
487,-3J. Aguilar,84,-
488,-2P. Juszczak,84,-
489,12C. Lopez Montagud,84,-
490,-2K. Singh,84,-
491,-1M. Kestelboim,83,-
492,7L. Borg,83,-
493,-13K. Edmund,82,-
494,A. Martin,82,-
495,M. Echargui,82,-
496,-14D. Vale,82,-
497,-26A. Celikbilek,81,-
498,-35M. Agwi,81,-
499,-8F. Bax,81,-
500,-7J. Forejtek,80,-
501,1D. Added,80,-
502,-5M. Wiskandt,80,-
503,19F. Broska,79,-
504,L. Bouquet,79,-
505,1Y. Dzhavakian,79,2
506,1A. Paulson,78,-
507,24I. Montes-De La Torre,78,-
508,-12A. Ayeni,78,-
509,-1B. Kuzuhara,78,-
510,-1E. Vanshelboim,78,1
511,13M. Bourgue,77,-
512,-27M. Safwat,76,-
513,-1J. Pereira,76,-
514,-27K. Pannu,76,-
515,2T. Colson,76,-
516,-5M. Krumich,76,-
517,-3P. Fajta,76,-
518,25M. Basic,75,-
519,2Y. Takahashi,75,-
520,15M. Serafini,75,-
521,9A. Perez,74,-
522,-2A. Guerrieri,74,1
523,2F. Bondioli,74,-
524,5A. Barroso Campos,73,-
525,-6R. Bonadio,72,-
526,-3F. Corwin,72,-
527,-14S. Palosi,72,-
528,-10K. Kivattsev,72,-
529,-1B. Bobrov,72,-
530,-3J. Schiessl,72,-
531,6O. Krutykh,72,2
532,65R. Te,71,-
533,-30O. Kumar,71,-
534,32F. Andaloro,71,-
535,-9D. Kellovsky,71,1
536,-3E. Hudd,70,-
537,-5I. Radulov,70,-
538,55K. Feldbausch,69,-
539,-5C. Kingsley,69,-
540,15V. Bielinskyi,69,-
541,-5K. Smith,69,-
542,-3T. Kumasaka,68,-
543,21S. Fomin,68,-
544,393J. Brooksby,67,-
545,-4A. Cornut-Chauvinc,67,-
546,-2H. Shiraishi,67,-
547,-2C. Sigsgaard,66,-
548,2S. Imai,66,-
549,-2A. Reymond,66,-
550,-40S. Slump,66,-
551,16W. Shin,66,-
552,-3J. Domingues,65,-
553,-2H. Naw,65,-
554,-1A. Weber,65,-
555,-1A. Nedic,65,-
556,D. Dedura-Palomero,65,-
557,1S. Fanselow,65,-
558,-12I. Marchenko,64,-
559,-11H. Adams,64,-
560,20A. Martinez,64,-
561,-1J. Cesar Porras,64,-
562,1G. Oradini,64,-
563,-11A. Rybakov,63,-
564,-22L. Potenza,63,-
565,A. Gautier,63,-
566,7A. Barrena,62,-
567,2A. Shah,62,-
568,-52B. Paire,62,-
569,1E. Vasa,62,-
570,-11N. Visker,62,-
571,4Y. Oliel,61,-
572,2R. Taguchi,61,-
573,3J. La Serna,61,-
574,3O. Pieczkowski,61,-
575,4M. Gonzalez Fernandez,61,1
576,9J. Estevez,61,-
577,17S. Diez,60,-
578,25C. Ilkel,60,-
579,2A. Beckley,60,-
580,-40J. Bradshaw,60,-
581,-3L. Aboian,60,-
582,1S. Banerjee,59,-
583,1G. Ferrari,59,-
584,-84Y. Milev,59,-
585,51L. Massard,59,-
586,A. Ghibaudo,58,-
587,11Y. Mo,58,-
588,-1K. Saitoh,58,-
589,12L. Dussin,58,-
590,-8J. Paz,58,1
591,-2V. Orlov,58,-
592,-1T. Svajda,57,-
593,-1M. Basing,57,-
594,1A. Thanos,57,-
595,38A. Hernandez,57,-
596,10Y. Erel,57,-
597,-1D. Barreto Sanchez,57,-
598,-37E. Ribeiro,56,-
599,1I. Snitari,56,-
600,115J. Echeverria,56,-
601,-13E. Arutiunian,56,-
602,3F. Gill,54,-
603,11E. Benchetrit,54,-
604,4S. Kirchheimer,54,-
605,5D. Obradovic,54,-
606,3D. Javia,54,-
607,4L. Wessels,54,-
608,4F. Peliwo,54,-
609,-38D. Cukierman,53,-
610,3E. Winter,53,-
611,60Y. Mochizuki,53,-
612,-44M. Malige,53,-
613,45T. Handel,53,-
614,90T. Lamasine,53,-
615,-11N. Serdarusic,52,-
616,35H. Stewart,52,-
617,47S. Shin,52,-
618,-3D. Palan,52,-
619,-3M. Leong,52,-
620,-3J. Brumm,52,1
621,-2R. Papoe,51,-
622,-1G. Bailly,51,-
623,-1E. Ejupovic,51,-
624,37B. Jones,51,-
625,-1C. Bittoun Kouzmine,51,-
626,-1S. Polukhin,50,-
627,-7T. Hilderbrand,50,-
628,-2I. Gimenez,50,-
629,-2K. Poling,50,-
630,-2E. Zhu,50,-
631,-13R. Matsuda,50,-
632,-2H. Wendelken,50,-
633,-4S. Gima,50,2
634,-3A. Kim,49,-
635,-3D. Thiem,49,-
636,-2J. Nikles,49,-
637,E. Donskoy,48,-
638,11O. Wallin,48,-
639,-40L. Gavrielides,48,-
640,-17M. Zhukov,48,-
641,-6J. Sperle,48,-
642,32K. De Schepper,48,-
643,2A. Manzanera Pertusa,48,-
644,-5M. Tammaro,48,-
645,-55A. Molcan,47,-
646,-4T. Legout,47,-
647,-75D. Wenger,47,-
648,-5M. Barreiros Reyes,47,-
649,111L. Carboni,47,-
650,44N. Vylegzhanin,47,-
651,-7M. Jones,47,-
652,-12E. Demanet,47,-
653,-7K. Ogura,47,1
654,-7J. Gomez,46,-
655,-7K. Miyoshi,46,-
656,-6A. Donski,46,-
657,-4E. Lumsden,46,-
658,23H. Matsuoka,46,-
659,-52B. Djuric,46,-
660,2F. Ribero,46,-
661,137T. Paroulek,45,-
662,-7M. Haliak,45,-
663,-6S. Sorger,45,-
664,-8D. Wassermann,45,-
665,D. Sweeny,45,-
666,21B. Gadamauri,45,-
667,-8M. Beauge,45,-
668,-8M. Mckennon,45,-
669,4I. Monzon,45,-
670,-7L. Rossi,45,-
671,60R. Quan,44,-
672,-6I. Lopez Morillo,44,-
673,2N. Schachter,44,-
674,-33A. Sanchez Quilez,44,-
675,-21A. Oetzbach,44,-
676,-8H. Chung,43,-
677,-139T. Kwiatkowski,43,-
678,-9K. Kang,43,-
679,-9A. Bellier,43,-
680,-78T. Papamalamis,43,-
681,-2T. Ichikawa,43,-
682,-10A. Braynin,43,-
683,A. Chepelev,43,-
684,-46A. Giannessi,42,-
685,-33D. Blanch,42,-
686,6B. Vilicich,42,-
687,-5J. Loge,42,-
688,-4P. Vives Marcos,41,-
689,-22A. Elsayed,41,-
690,-14A. Ouakaa,41,-
691,-14S. Hamza Reguig,41,-
692,59D. Milavsky,40,-
