rank,name
Vladyslav Orlov,580
Steven Diez,581
Keisuke Saitoh,582
Juan Manuel La Serna,583
Yanaki Milev,584
Alec Beckley,585
Gianmarco Ferrari,586
Jacob Bradshaw,587
Max Basing,588
Eduardo Ribeiro,589
Louis Dussin,590
Yanki Erel,591
Olaf Pieczkowski,592
Diego Augusto Barreto Sanchez,593
Antoine Ghibaudo,594
Ilya Snitari,595
Tristan Lamasine,596
Juan Pablo Paz,597
Leonardo Aboian,598
Alex Knaff,599
Filip Peliwo,600
